Date,Open,High,Low,Close ,Adj Close ,Currency,Volume
12-Sep-24,114.74,115.71,114.3,115.6,112.97,USD,1661700
11-Sep-24,112.8,114.64,112.61,114.5,111.89,USD,3231100
10-Sep-24,112.79,112.81,111.21,112.79,110.22,USD,2292500
9-Sep-24,112.04,112.95,111.98,112.6,110.04,USD,1724700
6-Sep-24,112,112.59,110.94,111.69,109.15,USD,1498100
5-Sep-24,112.62,112.99,111.89,112.1,109.55,USD,1732600
4-Sep-24,111,112.67,111,112.23,109.68,USD,1907400
3-Sep-24,112,112.15,111.11,111.55,109.01,USD,1831700
30-Aug-24,111.77,112.9,111.71,112.71,110.15,USD,1920500
29-Aug-24,111,112.58,110.99,111.88,109.33,USD,2061500
28-Aug-24,111.51,111.88,109.22,110.37,107.86,USD,5899400
27-Aug-24,115.93,116,111.12,112.04,109.49,USD,7111800
26-Aug-24,119.5,120.25,119.45,119.77,117.04,USD,1873800
23-Aug-24,118.35,119.44,118.08,119.26,116.55,USD,1965000
22-Aug-24,117.8,118.34,117.7,118.14,115.45,USD,2072700
21-Aug-24,118.05,118.47,117.33,117.85,115.17,USD,1675200
20-Aug-24,117.68,118.3,117.32,117.99,115.31,USD,1155000
19-Aug-24,117.16,118.2,117.15,117.83,115.15,USD,4373100
16-Aug-24,116.23,117.1,116.05,117.02,114.36,USD,953700
15-Aug-24,115.35,116.86,115.2,116.35,113.7,USD,1927000
14-Aug-24,113.83,114.59,113.6,114.34,111.74,USD,1781700
13-Aug-24,112.6,113.65,112.38,113.62,111.03,USD,2026900
12-Aug-24,111.93,112.27,111.22,111.85,109.31,USD,4873100
9-Aug-24,111.77,112.06,111.23,111.96,109.41,USD,1955400
8-Aug-24,111.41,111.76,110.82,111.64,109.1,USD,1838700
7-Aug-24,113.15,113.15,109.75,110.3,107.79,USD,4998700
6-Aug-24,109.48,111.96,109.02,111.52,108.98,USD,3937700
2-Aug-24,113.01,113.45,111.1,112.02,109.47,USD,4803400
1-Aug-24,117,117,114.02,114.69,112.08,USD,6047400
31-Jul-24,115.25,117.18,114.68,116.45,113.8,USD,8594900
30-Jul-24,1.55 Dividend,,,,,USD,
30-Jul-24,117.76,117.95,114.32,114.33,111.73,USD,5479300
29-Jul-24,121.25,121.33,120.17,120.85,116.59,USD,5123500
26-Jul-24,120.89,120.95,120.23,120.86,116.6,USD,3057800
25-Jul-24,118.8,120.58,118.43,120.25,116.01,USD,8385400
24-Jul-24,120.47,120.6,119.07,119.15,114.95,USD,3483400
23-Jul-24,120.26,120.74,119.72,120.53,116.28,USD,1836200
22-Jul-24,119.97,120.57,119.3,120.28,116.04,USD,1902100
19-Jul-24,118.6,119.58,118.38,119.46,115.24,USD,2399500
18-Jul-24,119.47,119.8,118.58,118.99,114.79,USD,2505700
17-Jul-24,119.12,119.92,119.03,119.42,115.21,USD,3158400
16-Jul-24,119.2,119.98,118.67,119.96,115.73,USD,2949000
